TimePoint,Area,PositionName,StationCode,Latitude,Longitude,AQI,Quality,Measure,Unheathful,NO2,O3,PM10,PM2_5,SO2,NO,NOx
2023-12-06T23:00:00,北京市,万寿西宫,1001A,39.8784,116.3621,398,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,63,3,498,137,2,—,—
2023-12-06T23:00:00,北京市,定陵,1002A,40.2915,116.2202,147,轻度污染,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼,易感人群症状有轻度加剧，健康人群出现刺激症状,19,21,243,76,3,—,—
2023-12-06T23:00:00,北京市,东四,1003A,39.9289,116.4174,411,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,59,3,511,117,3,—,—
2023-12-06T23:00:00,北京市,天坛,1004A,39.8863,116.4072,249,重度污染,儿童、老年人和心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动,心脏病和肺病患者症状显著加剧，运动耐受力降低，健康人群普遍出现症状,56,4,384,96,4,—,—
2023-12-06T23:00:00,北京市,农展馆,1005A,39.9365,116.462,360,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,62,6,468,120,2,—,—
2023-12-06T23:00:00,北京市,官园,1006A,39.9295,116.3392,421,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,60,2,521,135,4,—,—
2023-12-06T23:00:00,北京市,海淀万柳,1007A,39.9611,116.2878,368,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,75,7,474,106,3,—,—
2023-12-06T23:00:00,北京市,顺义新城,1008A,40.135,116.6636,144,轻度污染,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼,易感人群症状有轻度加剧，健康人群出现刺激症状,68,3,238,64,3,—,—
2023-12-06T23:00:00,北京市,怀柔镇,1009A,40.3275,116.6275,166,中度污染,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻练，一般人群适量减少户外运动,进一步加剧易感人群症状，可能对健康人群心脏、呼吸系统有影响,12,29,281,87,1,—,—
2023-12-06T23:00:00,北京市,昌平镇,1010A,40.217,116.2296,157,中度污染,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻练，一般人群适量减少户外运动,进一步加剧易感人群症状，可能对健康人群心脏、呼吸系统有影响,23,23,264,73,1,—,—
2023-12-06T23:00:00,北京市,奥体中心,1011A,39.9821,116.3966,359,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,64,2,467,122,1,—,—
2023-12-06T23:00:00,北京市,古城,1012A,39.9136,116.184,179,中度污染,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻练，一般人群适量减少户外运动,进一步加剧易感人群症状，可能对健康人群心脏、呼吸系统有影响,61,1,307,76,2,—,—
2023-12-06T23:00:00,北京市,延庆夏都,3281A,40.4529,115.9718,91,良,极少数异常敏感人群应减少户外活动,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,17,52,132,30,2,—,—
2023-12-06T23:00:00,北京市,平谷新城,3417A,40.1465,117.0709,153,中度污染,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻练，一般人群适量减少户外运动,进一步加剧易感人群症状，可能对健康人群心脏、呼吸系统有影响,46,2,256,82,2,—,—
2023-12-06T23:00:00,北京市,密云新城,3418A,40.4095,116.8336,175,中度污染,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻练，一般人群适量减少户外运动,进一步加剧易感人群症状，可能对健康人群心脏、呼吸系统有影响,47,6,299,83,3,—,—
2023-12-06T23:00:00,北京市,门头沟三家店,3671A,39.9726,116.088,—,—,—,—,—,—,—,—,—,—,—
2023-12-06T23:00:00,北京市,丰台云岗,3672A,39.8204,116.1541,243,重度污染,儿童、老年人和心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动,心脏病和肺病患者症状显著加剧，运动耐受力降低，健康人群普遍出现症状,30,17,380,97,8,—,—
2023-12-06T23:00:00,北京市,通州东关,3673A,39.9081,116.6804,372,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,63,3,477,105,3,—,—
2023-12-06T23:00:00,北京市,房山燕山,3674A,39.7603,115.9577,220,重度污染,儿童、老年人和心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动,心脏病和肺病患者症状显著加剧，运动耐受力降低，健康人群普遍出现症状,17,30,364,98,4,—,—
2023-12-06T23:00:00,北京市,大兴旧宫,3675A,39.7733,116.4672,372,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,60,2,477,94,3,—,—
2023-12-06T23:00:00,北京市,延庆石河营,3694A,40.4563,115.986,91,良,极少数异常敏感人群应减少户外活动,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,20,50,132,31,2,—,—
2023-12-06T23:00:00,北京市,怀柔新城,3695A,40.3053,116.6151,169,中度污染,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻练，一般人群适量减少户外运动,进一步加剧易感人群症状，可能对健康人群心脏、呼吸系统有影响,11,35,287,88,3,—,—
2023-12-06T23:00:00,北京市,丰台小屯,3696A,39.8768,116.2545,338,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,80,1,450,105,3,—,—
2023-12-06T23:00:00,北京市,密云镇,3697A,40.3844,116.84,166,中度污染,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻练，一般人群适量减少户外运动,进一步加剧易感人群症状，可能对健康人群心脏、呼吸系统有影响,54,2,281,78,3,—,—
2023-12-06T23:00:00,天津市,勤俭道,1015A,39.1661,117.1444,345,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,62,7,456,112,8,—,—
2023-12-06T23:00:00,天津市,大直沽八号路,1017A,39.1082,117.237,169,中度污染,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻练，一般人群适量减少户外运动,进一步加剧易感人群症状，可能对健康人群心脏、呼吸系统有影响,59,13,287,100,6,—,—
2023-12-06T23:00:00,天津市,前进道,1018A,39.0927,117.202,279,重度污染,儿童、老年人和心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动,心脏病和肺病患者症状显著加剧，运动耐受力降低，健康人群普遍出现症状,66,9,405,104,6,—,—
2023-12-06T23:00:00,天津市,淮河道,1019A,39.2133,117.1837,333,严重污染,儿童、老年人和病人应当留在室内，避免体力消耗，一般人群应避免户外活动,健康人群运动耐受力降低，有明显强烈症状，提前出现某些疾病,49,17,446,112,5,—,—
2023-12-06T23:00:00,天津市,跃进路,1021A,39.0877,117.307,288,重度污染,儿童、老年人和心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动,心脏病和肺病患者症状显著加剧，运动耐受力降低，健康人群普遍出现症状,63,2,411,114,7,—,—
